Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,3JP,SW,SW2,
BA1,3JQ,SW,SW2,
BA1,3JR,SW,SW2,
BA1,3JS,SW,SW2,
BA1,3JT,SW,SW2,
BA1,3JW,SW,SW2,
BA1,3JX,SW,SW2,
BA1,3JY,SW,SW2,
BA1,3JZ,SW,SW2,
BA1,3LA,SW,SW2,
BA1,3LB,SW,SW2,
BA1,3LD,SW,SW2,
BA1,3LE,SW,SW2,
BA1,3LF,SW,SW2,
BA1,3LG,SW,SW2,
BA1,3LH,SW,SW2,
BA1,3LJ,SW,SW2,
BA1,3LL,SW,SW2,
BA1,3LN,SW,SW2,
BA1,3LP,SW,SW2,
BA1,3LQ,SW,SW2,
BA1,3LR,SW,SW2,
BA1,3LS,SW,SW2,
BA1,3LT,SW,SW2,
BA1,3LU,SW,SW2,
BA1,3LW,SW,SW2,
BA1,3LX,SW,SW2,
BA1,3LY,SW,SW2,
BA1,3NB,SW,SW2,
BA1,3NE,SW,SW2,
BA1,3NF,SW,SW2,
BA1,3NG,SW,SW2,
BA1,3NH,SW,SW2,
BA1,3NP,SW,SW2,
BA1,3NR,SW,SW2,
BA1,3NS,SW,SW2,
BA1,3NU,SW,SW2,
BA1,3PA,SW,SW2,
BA1,3PB,SW,SW2,
BA1,3PD,SW,SW2,
BA1,3PE,SW,SW2,
BA1,3PF,SW,SW2,
BA1,3PG,SW,SW2,
BA1,3PQ,SW,SW2,
BA1,3PR,SW,SW2,
BA1,3PS,SW,SW2,
BA1,3PT,SW,SW2,
BA1,3PU,SW,SW2,
BA1,3PW,SW,SW2,
BA1,3PX,SW,SW2,
BA1,3PY,SW,SW2,
BA1,3QA,SW,SW2,
BA1,3QB,SW,SW2,
BA1,3QD,SW,SW2,
BA1,3QF,SW,SW2,
BA1,3QG,SW,SW2,
BA1,3QH,SW,SW2,
BA1,3QN,SW,SW2,
BA1,3QP,SW,SW2,
BA1,3QQ,SW,SW2,
BA1,3QR,SW,SW2,
BA1,3QS,SW,SW2,
BA1,3RA,SW,SW2,
BA1,3RB,SW,SW2,
BA1,3RD,SW,SW2,
BA1,3RE,SW,SW2,
BA1,3RF,SW,SW2,
BA1,3RG,SW,SW2,
BA1,3RH,SW,SW2,
BA1,3RJ,SW,SW2,
BA1,3RL,SW,SW2,
BA1,3RN,SW,SW2,
BA1,3RP,SW,SW2,
BA1,3RQ,SW,SW2,
BA1,3RR,SW,SW2,
BA1,3RS,SW,SW2,
BA1,3RT,SW,SW2,
BA1,3RU,SW,SW2,
BA1,3RW,SW,SW2,
BA1,3RX,SW,SW2,
BA1,3RY,SW,SW2,
BA1,3RZ,SW,SW2,
BA1,3VV,SW,SW2,
BA1,4AA,SW,SW2,
BA1,4AB,SW,SW2,
BA1,4AF,SW,SW2,
BA1,4AG,SW,SW2,
BA1,4AH,SW,SW2,
BA1,4AJ,SW,SW2,
BA1,4AL,SW,SW2,
BA1,4AN,SW,SW2,
BA1,4AQ,SW,SW2,
BA1,4AR,SW,SW2,
BA1,4AS,SW,SW2,
BA1,4AT,SW,SW2,
BA1,4AU,SW,SW2,
BA1,4AX,SW,SW2,
BA1,4AY,SW,SW2,
BA1,4AZ,SW,SW2,
BA1,4BA,SW,SW2,
BA1,4BB,SW,SW2,
BA1,4BD,SW,SW2,
BA1,4BE,SW,SW2,
BA1,4BP,SW,SW2,
BA1,4BQ,SW,SW2,
BA1,4BR,SW,SW2,
BA1,4BS,SW,SW2,
BA1,4BT,SW,SW2,
BA1,4BU,SW,SW2,
BA1,4BW,SW,SW2,
BA1,4BX,SW,SW2,
BA1,4BY,SW,SW2,
BA1,4DA,SW,SW2,
BA1,4DB,SW,SW2,
BA1,4DD,SW,SW2,
BA1,4DE,SW,SW2,
BA1,4DF,SW,SW2,
BA1,4DG,SW,SW2,
BA1,4DH,SW,SW2,
BA1,4DJ,SW,SW2,
BA1,4DL,SW,SW2,
BA1,4DN,SW,SW2,
BA1,4DP,SW,SW2,
BA1,4DQ,SW,SW2,
BA1,4DU,SW,SW2,
BA1,4DW,SW,SW2,
BA1,4DX,SW,SW2,
BA1,4DY,SW,SW2,
BA1,4DZ,SW,SW2,
BA1,4EA,SW,SW2,
BA1,4EB,SW,SW2,
BA1,4ED,SW,SW2,
BA1,4EE,SW,SW2,
BA1,4EF,SW,SW2,
BA1,4EG,SW,SW2,
BA1,4EH,SW,SW2,
BA1,4EJ,SW,SW2,
BA1,4EL,SW,SW2,
BA1,4EN,SW,SW2,
BA1,4EP,SW,SW2,
BA1,4EQ,SW,SW2,
BA1,4ER,SW,SW2,
BA1,4ES,SW,SW2,
BA1,4ET,SW,SW2,
BA1,4EU,SW,SW2,
BA1,4EW,SW,SW2,
